tweet,date,city,user_location,id,link
@BridJackline 😂😂😂now I say it with who?,2023-04-24 12:16:28+00:00,Burundi,"Arua, Uganda",1650473779720585218,https://twitter.com/i/web/status/1650473779720585218
@IsaiahTwesigye They move on bro😂,2023-04-24 12:16:16+00:00,Burundi,"Arua, Uganda",1650473729393057792,https://twitter.com/i/web/status/1650473729393057792
"Of which she told me she can't. They are not delivering drugs but they expect the facilities to place in their orders for the next Cycle. 
#UgandaHealthExhibition",2023-04-24 12:15:57+00:00,Burundi,"Gulu, Uganda",1650473651526045697,https://twitter.com/i/web/status/1650473651526045697
@PatrickAkuku And you haven't said any about me,2023-04-24 12:15:57+00:00,Burundi,"Arua, Uganda",1650473651416834053,https://twitter.com/i/web/status/1650473651416834053
"This week happens to be the official delivery period as per the NMS delivery schedule but after contacting the NMS regional  coordinator, she told me they will not be in position deliver that we wait upto the end of May. I told her to make an official communication to the DHOs",2023-04-24 12:15:53+00:00,Burundi,"Gulu, Uganda",1650473636564992001,https://twitter.com/i/web/status/1650473636564992001
"Yes those equipments are there but the another big issue is uneding stock outs of medicines and other supplies. Yumbe currently has low stock status of Essential Medicines, Antiretrovirals and Anti TBs. This was the same issue when you were the RDC of Yumbe. https://t.co/ytEnYnEl8E",2023-04-24 12:15:52+00:00,Burundi,"Gulu, Uganda",1650473630688772096,https://twitter.com/i/web/status/1650473630688772096
@ArthurMuhwezi12 Aren't those just houses in Ankole? Nga kings are many 😂😂😂,2023-04-24 12:15:32+00:00,Burundi,"Gulu, Uganda ",1650473546466877440,https://twitter.com/i/web/status/1650473546466877440
@nsubugamaxk @faith_nabushawo Yes 😂😂 vibes it's these dark humors we land  on online that keep us going otherwise there is nothing much to this country lately,2023-04-24 12:14:40+00:00,Burundi,"Arua, Uganda",1650473330246287360,https://twitter.com/i/web/status/1650473330246287360
@emeka_ug His account has been hacked.,2023-04-24 12:13:24+00:00,Burundi,"Pader, Uganda",1650473008790659072,https://twitter.com/i/web/status/1650473008790659072
"@Yangihellen Yea ,I fear having any of my relatives admitted in Public facility but sometimes we have no alternative but just to settle with the options,My Bro stayed in rehab for a month and the meds he was on the cheapest was 25k per dose but it can go for twice per day",2023-04-24 12:13:21+00:00,Burundi,"Arua, Uganda",1650472997520646146,https://twitter.com/i/web/status/1650472997520646146
Real men don’t say sorry✌️,2023-04-24 12:13:11+00:00,Burundi,"Arua, Uganda",1650472956332523520,https://twitter.com/i/web/status/1650472956332523520
"@billdanug @iam_jamesE1 Thats your opinion, I study to help and support people in my community and if that's one of the way my people will be helped then be it,,, Who are you to question my ethical code of conduct  even????",2023-04-24 12:12:58+00:00,Burundi,Gulu City,1650472900132995074,https://twitter.com/i/web/status/1650472900132995074
Hi guys! did you see this? https://t.co/FxhSU6wE5m #KratingdaengXNOAH,2023-04-24 12:12:45+00:00,Burundi,Arua,1650472844290031621,https://twitter.com/i/web/status/1650472844290031621
Isn’t drug addiction bad,2023-04-24 12:11:05+00:00,Burundi,Makima,1650472427141603330,https://twitter.com/i/web/status/1650472427141603330
"@Ankunda_Barbie A mother starts bleeding and even if a doctor is available, he has no gloves,there are no sutures and the mother has no money to buy from outside or has to first call home to sell some chicken and goats to raise money to buy essential meanwhile she's bleeding",2023-04-24 12:10:58+00:00,Burundi,"Gulu, UGanda",1650472398230003713,https://twitter.com/i/web/status/1650472398230003713
@rastacounsel On my way,2023-04-24 12:10:43+00:00,Burundi,"Gulu, Uganda",1650472332861874178,https://twitter.com/i/web/status/1650472332861874178
Nyabo are you a resident of Gulu?. https://t.co/8gqoj3m8bI,2023-04-24 12:10:26+00:00,Burundi,"Gulu, Uganda",1650472263387435009,https://twitter.com/i/web/status/1650472263387435009
@JaneTibaijuka @NRMOnline @TodwongR You are very truth.,2023-04-24 12:09:56+00:00,Burundi,"Gulu, Uganda",1650472136224514048,https://twitter.com/i/web/status/1650472136224514048
The cultural difference is insane tbh https://t.co/h8F6UbOsPu,2023-04-24 12:09:35+00:00,Burundi,Makima,1650472047645200384,https://twitter.com/i/web/status/1650472047645200384
But Mami I thought we still on #UgandaHealthExhibition ? 😹😹 https://t.co/FI9KMYWBCi,2023-04-24 12:09:09+00:00,Burundi,"Arua, Uganda",1650471940887396353,https://twitter.com/i/web/status/1650471940887396353
@GimonoMartha @DrOribaDan @Sunshinerwa @DrMutungaEA @dr_katumwa @DrOtileUg @dr_evenakato @CelestinoGutirr @faith_nabushawo My baby❤️,2023-04-24 12:08:50+00:00,Burundi,"Gulu, Uganda",1650471858569895941,https://twitter.com/i/web/status/1650471858569895941
@l1ttlerockstars wintong,2023-04-24 12:08:40+00:00,Burundi,makima,1650471818485182464,https://twitter.com/i/web/status/1650471818485182464
"@Ankunda_Barbie You find a doctor yawning at emergency using the same pair of gloves to examine more than one person because gloves are scarce, a mother gets a vaginal tear during normal birth and her caregivers are sent immediately to a nearby pharmacy to buy sutures because they r out of stock",2023-04-24 12:07:50+00:00,Burundi,"Gulu, UGanda",1650471610845896706,https://twitter.com/i/web/status/1650471610845896706
@TobiasWhales 😹😹😹😹 I know right,2023-04-24 12:07:10+00:00,Burundi,"Arua, Uganda",1650471440360120320,https://twitter.com/i/web/status/1650471440360120320
"@HuduHussein @SpireJim A Hospital is not the building,the sooner your know that the easier it's going to get for you",2023-04-24 12:06:36+00:00,Burundi,"Arua, Uganda",1650471299796303874,https://twitter.com/i/web/status/1650471299796303874
