tweet,date,city,user_location,id,link
@Pliam_ Eeeeh!....naye banange😂,2023-04-24 10:48:27+00:00,Burundi,"Gulu, UGanda",1650451630695874561,https://twitter.com/i/web/status/1650451630695874561
"@aerynclairine • humorous, adaptable, affable.",2023-04-24 07:36:28+00:00,Burundi,abim,1650403318412492800,https://twitter.com/i/web/status/1650403318412492800
"@weevks • humorous, adaptable, affable.",2023-04-24 07:36:10+00:00,Burundi,abim,1650403240603947009,https://twitter.com/i/web/status/1650403240603947009
"@loopscecel • humorous, adaptable, affable.",2023-04-24 07:36:00+00:00,Burundi,abim,1650403200321871872,https://twitter.com/i/web/status/1650403200321871872
"@cabpella • humorous, adaptable, affable.",2023-04-24 07:35:51+00:00,Burundi,abim,1650403162837381122,https://twitter.com/i/web/status/1650403162837381122
"@desqgn • humorous, adaptable, affable.",2023-04-24 07:35:04+00:00,Burundi,abim,1650402966778818562,https://twitter.com/i/web/status/1650402966778818562
"@prttyeleanor • humorous, adaptable, affable.",2023-04-24 07:34:55+00:00,Burundi,abim,1650402925502672897,https://twitter.com/i/web/status/1650402925502672897
"@jevdai • humorous, adaptable, affable.",2023-04-24 07:34:42+00:00,Burundi,abim,1650402873023565824,https://twitter.com/i/web/status/1650402873023565824
"@elodienoaa • humorous, adaptable, affable.",2023-04-24 07:33:54+00:00,Burundi,abim,1650402671545946116,https://twitter.com/i/web/status/1650402671545946116
"@candysluvv • humorous, adaptable, affable.",2023-04-24 07:33:41+00:00,Burundi,abim,1650402615220670469,https://twitter.com/i/web/status/1650402615220670469
"@hyewonnie_3 • humorous, adaptable, affable.",2023-04-24 07:31:57+00:00,Burundi,abim,1650402180640444416,https://twitter.com/i/web/status/1650402180640444416
"@rxsaprmsta • humorous, adaptable, affable.",2023-04-24 07:30:19+00:00,Burundi,abim,1650401768571047936,https://twitter.com/i/web/status/1650401768571047936
"#NorthernDeathExhibition
Acholi https://t.co/BSl7RJkOZq",2023-04-24 06:45:38+00:00,Burundi,"Gulu, Uganda",1650390524828762119,https://twitter.com/i/web/status/1650390524828762119
"#NorthernDeathExhibition
Acholi https://t.co/SQpVbDGto4",2023-04-24 06:45:18+00:00,Burundi,"Gulu, Uganda",1650390438698799104,https://twitter.com/i/web/status/1650390438698799104
"#NorthernDeathExhibition
Acholi https://t.co/UrQr9UBO7R",2023-04-24 06:44:45+00:00,Burundi,"Gulu, Uganda",1650390302207639552,https://twitter.com/i/web/status/1650390302207639552
"#NorthernDeathExhibition
Acholi https://t.co/PkdaRrtB6e",2023-04-24 06:44:16+00:00,Burundi,"Gulu, Uganda",1650390179822071808,https://twitter.com/i/web/status/1650390179822071808
"#NorthernDeathExhibition
Acholi https://t.co/BFZMe4eIOV",2023-04-24 06:43:58+00:00,Burundi,"Gulu, Uganda",1650390107080327168,https://twitter.com/i/web/status/1650390107080327168
"#NorthernDeathExhibition
Acholi https://t.co/zUk0uNOUyG",2023-04-24 06:43:41+00:00,Burundi,"Gulu, Uganda",1650390035768786947,https://twitter.com/i/web/status/1650390035768786947
"#NorthernDeathExhibition
Acholi https://t.co/35gIhoZDxI",2023-04-24 06:43:17+00:00,Burundi,"Gulu, Uganda",1650389931955462145,https://twitter.com/i/web/status/1650389931955462145
"#NorthernDeathExhibition
Acholi https://t.co/hVvXCU2LyR",2023-04-24 06:42:54+00:00,Burundi,"Gulu, Uganda",1650389835960418304,https://twitter.com/i/web/status/1650389835960418304
"#NorthernDeathExhibition
Acholi https://t.co/Vwz0hjFzAp",2023-04-24 06:42:42+00:00,Burundi,"Gulu, Uganda",1650389787671494656,https://twitter.com/i/web/status/1650389787671494656
"#NorthernDeathExhibition
Acholi https://t.co/z7o2iLORx6",2023-04-24 06:42:22+00:00,Burundi,"Gulu, Uganda",1650389704183783424,https://twitter.com/i/web/status/1650389704183783424
"#NorthernDeathExhibition
Acholi https://t.co/SUJUsl31fw",2023-04-24 06:42:09+00:00,Burundi,"Gulu, Uganda",1650389646361214981,https://twitter.com/i/web/status/1650389646361214981
"#NorthernDeathExhibition
Acholi https://t.co/MJC5z5U7cX",2023-04-24 06:41:54+00:00,Burundi,"Gulu, Uganda",1650389586055507968,https://twitter.com/i/web/status/1650389586055507968
"#NorthernDeathExhibition
Acholi https://t.co/gtyDoeUGN9",2023-04-24 06:41:35+00:00,Burundi,"Gulu, Uganda",1650389504627228673,https://twitter.com/i/web/status/1650389504627228673
"#NorthernDeathExhibition
Acholi https://t.co/S5MlWATlja",2023-04-24 06:41:14+00:00,Burundi,"Gulu, Uganda",1650389416127393794,https://twitter.com/i/web/status/1650389416127393794
"#NorthernDeathExhibition
Acholi https://t.co/OTiMXvVujY",2023-04-24 06:40:57+00:00,Burundi,"Gulu, Uganda",1650389344786546688,https://twitter.com/i/web/status/1650389344786546688
"#NorthernDeathExhibition
Acholi https://t.co/yCULoTDn21",2023-04-24 06:40:35+00:00,Burundi,"Gulu, Uganda",1650389252050415617,https://twitter.com/i/web/status/1650389252050415617
"#NorthernDeathExhibition
Acholi https://t.co/IPIl6zorRZ",2023-04-24 06:40:22+00:00,Burundi,"Gulu, Uganda",1650389199114174465,https://twitter.com/i/web/status/1650389199114174465
"#NorthernDeathExhibition
Acholi https://t.co/6SThwMVPQz",2023-04-24 06:40:02+00:00,Burundi,"Gulu, Uganda",1650389115953709056,https://twitter.com/i/web/status/1650389115953709056
"#NorthernDeathExhibition
Acholi https://t.co/j38epREwm3",2023-04-24 06:39:49+00:00,Burundi,"Gulu, Uganda",1650389060853137408,https://twitter.com/i/web/status/1650389060853137408
"#NorthernDeathExhibition
Acholi https://t.co/ZE9zW5SfAM",2023-04-24 06:39:33+00:00,Burundi,"Gulu, Uganda",1650388994180489221,https://twitter.com/i/web/status/1650388994180489221
"#NorthernDeathExhibition
Acholi https://t.co/Ix8sP1SpeI",2023-04-24 06:39:13+00:00,Burundi,"Gulu, Uganda",1650388908318900224,https://twitter.com/i/web/status/1650388908318900224
"#NorthernDeathExhibition
Acholi https://t.co/0BgcNVko7j",2023-04-24 06:39:01+00:00,Burundi,"Gulu, Uganda",1650388860432531458,https://twitter.com/i/web/status/1650388860432531458
"#NorthernDeathExhibition
Acholi https://t.co/jGoM8qNh1z",2023-04-24 06:38:36+00:00,Burundi,"Gulu, Uganda",1650388754434080769,https://twitter.com/i/web/status/1650388754434080769
"#NorthernDeathExhibition
Acholi https://t.co/XF0YtXk1hB",2023-04-24 06:38:03+00:00,Burundi,"Gulu, Uganda",1650388617162895361,https://twitter.com/i/web/status/1650388617162895361
"#NorthernDeathExhibition
Acholi https://t.co/ijd5fpAm52",2023-04-24 06:37:52+00:00,Burundi,"Gulu, Uganda",1650388569612238849,https://twitter.com/i/web/status/1650388569612238849
"#NorthernDeathExhibition
Acholi https://t.co/PaZocgrgIp",2023-04-24 06:37:37+00:00,Burundi,"Gulu, Uganda",1650388509075681280,https://twitter.com/i/web/status/1650388509075681280
"#NorthernDeathExhibition
Acholi https://t.co/IeugFRoJYa",2023-04-24 06:37:23+00:00,Burundi,"Gulu, Uganda",1650388448807731200,https://twitter.com/i/web/status/1650388448807731200
"#NorthernDeathExhibition
Acholi https://t.co/cnCatw6Y9s",2023-04-24 06:36:49+00:00,Burundi,"Gulu, Uganda",1650388306503565312,https://twitter.com/i/web/status/1650388306503565312
"#NorthernDeathExhibition
Acholi https://t.co/bCYpsVIYOI",2023-04-24 06:35:54+00:00,Burundi,"Gulu, Uganda",1650388076382900225,https://twitter.com/i/web/status/1650388076382900225
"#NorthernDeathExhibition
Acholi https://t.co/DMFX4RQVTz",2023-04-24 06:35:39+00:00,Burundi,"Gulu, Uganda",1650388013359198208,https://twitter.com/i/web/status/1650388013359198208
"#NorthernDeathExhibition
Acholi https://t.co/jXzsx4ctff",2023-04-24 06:35:22+00:00,Burundi,"Gulu, Uganda",1650387940151836672,https://twitter.com/i/web/status/1650387940151836672
"#NorthernDeathExhibition
Acholi https://t.co/4dnIfumNfe",2023-04-24 06:34:42+00:00,Burundi,"Gulu, Uganda",1650387773650501633,https://twitter.com/i/web/status/1650387773650501633
"#NorthernDeathExhibition
Acholi https://t.co/cGsSk9Mq70",2023-04-24 06:34:11+00:00,Burundi,"Gulu, Uganda",1650387644411523074,https://twitter.com/i/web/status/1650387644411523074
"#NorthernDeathExhibition
Acholi https://t.co/C9iJ9K5eCE",2023-04-24 06:33:40+00:00,Burundi,"Gulu, Uganda",1650387511057711104,https://twitter.com/i/web/status/1650387511057711104
"@neycmarjr • humorous, adaptable, affable.",2023-04-24 04:42:52+00:00,Burundi,abim,1650359630344880128,https://twitter.com/i/web/status/1650359630344880128
"@echimollie • humorous, adaptable, affable.",2023-04-24 04:42:07+00:00,Burundi,abim,1650359440934318080,https://twitter.com/i/web/status/1650359440934318080
"@thisloveiscruel • humorous, adaptable, affable.",2023-04-24 04:33:35+00:00,Burundi,abim,1650357291751997441,https://twitter.com/i/web/status/1650357291751997441
"@caasettee • humorous, adaptable, affable.",2023-04-24 04:32:52+00:00,Burundi,abim,1650357113200467968,https://twitter.com/i/web/status/1650357113200467968
"@txerrible • humorous, adaptable, affable.",2023-04-24 04:29:41+00:00,Burundi,abim,1650356312621072386,https://twitter.com/i/web/status/1650356312621072386
"@breadtaalks • humorous, adaptable, affable.",2023-04-24 04:29:26+00:00,Burundi,abim,1650356247328329729,https://twitter.com/i/web/status/1650356247328329729
"@hazexl • humorous, adaptable, affable.",2023-04-24 04:29:13+00:00,Burundi,abim,1650356195809697792,https://twitter.com/i/web/status/1650356195809697792
"@jifairyy • humorous, adaptable, affable.",2023-04-24 04:22:56+00:00,Burundi,abim,1650354612770344960,https://twitter.com/i/web/status/1650354612770344960
"@qCetar • humorous, adaptable, affable.",2023-04-24 04:22:47+00:00,Burundi,abim,1650354574501515264,https://twitter.com/i/web/status/1650354574501515264
"@carramellss • humorous, adaptable, affable.",2023-04-24 04:20:21+00:00,Burundi,abim,1650353962619662338,https://twitter.com/i/web/status/1650353962619662338
"@marionaren_ • humorous, adaptable, affable.",2023-04-24 04:19:09+00:00,Burundi,abim,1650353660692668416,https://twitter.com/i/web/status/1650353660692668416
"@ploatr • humorous, adaptable, affable.",2023-04-24 04:18:25+00:00,Burundi,abim,1650353476780847104,https://twitter.com/i/web/status/1650353476780847104
"@chemisesa • humorous, adaptable, affable.",2023-04-24 04:17:28+00:00,Burundi,abim,1650353238305296384,https://twitter.com/i/web/status/1650353238305296384
"@Cutiieskyy • humorous, adaptable, affable.",2023-04-24 04:17:16+00:00,Burundi,abim,1650353185725505536,https://twitter.com/i/web/status/1650353185725505536
"@Kaffagi • humorous, adaptable, affable.",2023-04-24 04:16:55+00:00,Burundi,abim,1650353100048470017,https://twitter.com/i/web/status/1650353100048470017
"@bbloodscum • humorous, adaptable, affable.",2023-04-24 04:16:29+00:00,Burundi,abim,1650352989306224640,https://twitter.com/i/web/status/1650352989306224640
"@saturnewst • humorous, adaptable, affable.",2023-04-24 04:16:21+00:00,Burundi,abim,1650352954715799552,https://twitter.com/i/web/status/1650352954715799552
"@omnilovers • humorous, adaptable, affable.",2023-04-24 04:16:03+00:00,Burundi,abim,1650352879499362304,https://twitter.com/i/web/status/1650352879499362304
"@ekstrrovert • humorous, adaptable, affable.",2023-04-24 04:15:21+00:00,Burundi,abim,1650352704919855109,https://twitter.com/i/web/status/1650352704919855109
"@acanemoo • humorous, adaptable, affable.",2023-04-24 04:14:48+00:00,Burundi,abim,1650352565455036416,https://twitter.com/i/web/status/1650352565455036416
"@owlsnoe • humorous, adaptable, affable.",2023-04-24 04:14:37+00:00,Burundi,abim,1650352519254798336,https://twitter.com/i/web/status/1650352519254798336
"@bbeautefy • humorous, adaptable, affable.",2023-04-24 04:14:08+00:00,Burundi,abim,1650352400312733696,https://twitter.com/i/web/status/1650352400312733696
"@nanaspacce • humorous, adaptable, affable.",2023-04-24 04:13:17+00:00,Burundi,abim,1650352182934519809,https://twitter.com/i/web/status/1650352182934519809
"@glhumy • humorous, adaptable, affable.",2023-04-24 04:12:58+00:00,Burundi,abim,1650352103662170112,https://twitter.com/i/web/status/1650352103662170112
"@8ternalz • humorous, adaptable, affable.",2023-04-24 04:12:53+00:00,Burundi,abim,1650352081981812743,https://twitter.com/i/web/status/1650352081981812743
IroiroYaritaiNe,2023-04-23 22:32:04+00:00,Burundi,Unya,1650266312969699328,https://twitter.com/i/web/status/1650266312969699328
@BusingyeJose Sis kikii😂😂,2023-04-23 17:26:33+00:00,Burundi,"Kitgum, Uganda",1650189427967250433,https://twitter.com/i/web/status/1650189427967250433
@CaroleQuintaine Je te suivrai sur ilporte quelle support,2023-04-23 17:08:34+00:00,Burundi,zizi,1650184902787080192,https://twitter.com/i/web/status/1650184902787080192
@llaups_ mds que gay te amo,2023-04-23 16:51:07+00:00,Burundi,Rua ,1650180509740199936,https://twitter.com/i/web/status/1650180509740199936
Touchy Alot https://t.co/4UKe7Narq5,2023-04-23 11:44:11+00:00,Burundi,Gulu,1650103268616425477,https://twitter.com/i/web/status/1650103268616425477
Apici https://t.co/Y52JT73iIF,2023-04-23 11:43:34+00:00,Burundi,Gulu,1650103113808838656,https://twitter.com/i/web/status/1650103113808838656
"Rosé’s sister Alice shared a photo of Hank watching Rosé and the girls’ Coachella performance 🖤

ROSÉ ROCKS COACHELLA 
#ROSÉCHELLA
#BLACKPINKxCoachella https://t.co/uFwqmv2agX",2023-04-23 06:37:45+00:00,Burundi,MICHELE ,1650026152617218049,https://twitter.com/i/web/status/1650026152617218049
"Explore Acholi Land

#VisitGulu https://t.co/VjtuqHqPc2",2023-04-23 06:30:16+00:00,Burundi,"Gulu, Uganda",1650024271605821441,https://twitter.com/i/web/status/1650024271605821441
The French protest with a certain “je ne sais quoi” https://t.co/MLITxjm7m5,2023-04-23 04:31:22+00:00,Burundi,"Kitgum, Uganda",1649994349202006016,https://twitter.com/i/web/status/1649994349202006016
Aux champs elysees,2023-04-23 04:02:09+00:00,Burundi,kaki,1649986996490891266,https://twitter.com/i/web/status/1649986996490891266
@zoidelul4 qq deu with ele?,2023-04-23 01:35:02+00:00,Burundi,Rua,1649949969657262080,https://twitter.com/i/web/status/1649949969657262080
@svnktalina mds baby,2023-04-23 01:27:59+00:00,Burundi,maraca,1649948199178719236,https://twitter.com/i/web/status/1649948199178719236
@piqerez qq deu,2023-04-23 01:12:51+00:00,Burundi,Rua,1649944390381498369,https://twitter.com/i/web/status/1649944390381498369
@unclemill4 Available 😎 https://t.co/dL7OnQwnjZ,2023-04-22 17:41:13+00:00,Burundi,"gulu, uganda",1649830733005856771,https://twitter.com/i/web/status/1649830733005856771
@furiaichuuuj 8 j'en peux plus de toi theo,2023-04-22 12:34:43+00:00,Burundi,𓂺zizi,1649753598635417600,https://twitter.com/i/web/status/1649753598635417600
@Aisha11ug National obligation,2023-04-22 08:59:44+00:00,Burundi,universe,1649699496450748416,https://twitter.com/i/web/status/1649699496450748416
@BAsibazuyo Operations management,2023-04-21 18:18:44+00:00,Burundi,"Gulu, Uganda",1649477786497589253,https://twitter.com/i/web/status/1649477786497589253
@Rogers_soUg I dont lié https://t.co/cThhUPhwGv,2023-04-21 17:59:46+00:00,Burundi,Gulu,1649473010867249153,https://twitter.com/i/web/status/1649473010867249153
@central_sage Évidemment ! Vérifiez vous serez étonnés,2023-04-21 14:13:24+00:00,Burundi,"Arua, Uganda ",1649416046774829062,https://twitter.com/i/web/status/1649416046774829062
@patientmadenge D'accord !,2023-04-21 13:57:33+00:00,Burundi,"Arua, Uganda ",1649412056439767042,https://twitter.com/i/web/status/1649412056439767042
Éducation et la diversité de l’informatique à l’école – binaire https://t.co/kLoGUTclKA via @Blog_Binaire,2023-04-21 13:29:26+00:00,Burundi,Durba ,1649404981550653440,https://twitter.com/i/web/status/1649404981550653440
@veniceomon Dis disclaimer🤐🤐🤐,2023-04-21 12:10:21+00:00,Burundi,Gulu city,1649385077179047937,https://twitter.com/i/web/status/1649385077179047937
@destroyednt des mau,2023-04-21 11:57:54+00:00,Burundi,makima,1649381945116344322,https://twitter.com/i/web/status/1649381945116344322
@VkatendoS Ce quoi ce ventre ?,2023-04-21 10:09:20+00:00,Burundi,"Arua, Uganda ",1649354625839972357,https://twitter.com/i/web/status/1649354625839972357
@daniel_ikoli @central_sage Regardes toi !,2023-04-21 10:07:49+00:00,Burundi,"Arua, Uganda ",1649354243051012097,https://twitter.com/i/web/status/1649354243051012097
@sylvainlumuanga @moise_katumbi @central_sage @kakese_leon @sidis_samy @BukasaEmmanuel2 @apotrembuyiwaka @AlainMake20 @AngelKazadi @FalialaKiza @Ludovicmilambo @BEndundo @MudimbiThierry @HonoreMvula1 C'est la stratégie politique,2023-04-21 09:56:32+00:00,Burundi,"Arua, Uganda ",1649351403800870912,https://twitter.com/i/web/status/1649351403800870912
@Vokz_Mentor Cet cen😂😂,2023-04-21 09:42:34+00:00,Burundi,"Kitgum, Uganda",1649347889515069444,https://twitter.com/i/web/status/1649347889515069444
@i2dday mds ela n entende nois..,2023-04-21 05:44:16+00:00,Burundi,anya,1649287915632041984,https://twitter.com/i/web/status/1649287915632041984
@218ji mds cuzao bot,2023-04-21 01:36:59+00:00,Burundi,anya,1649225688140902400,https://twitter.com/i/web/status/1649225688140902400
@central_sage Sans ascenseur ! Sans électricité ni eau potable disponible disponible. Quel pays ça !,2023-04-20 15:56:00+00:00,Burundi,"Arua, Uganda ",1649079477345873921,https://twitter.com/i/web/status/1649079477345873921
@TataCardinal Il n'ya que les enfants des sorciers qui n'aiment pas notre cardinal,2023-04-20 15:54:13+00:00,Burundi,"Arua, Uganda ",1649079028140109825,https://twitter.com/i/web/status/1649079028140109825
@JustineHabiman2 C'est un petit joueur capricieux et rancunier,2023-04-20 15:49:04+00:00,Burundi,"Arua, Uganda ",1649077732213399552,https://twitter.com/i/web/status/1649077732213399552
@BlandiaKulaba2 @abelamundala @andy_ledia @Alex_shabani243 @BenitaNtumba @gaudry_mangozi @gisele_mulumba @JeyMwepu @HichamRhan @MagloireKabwe @NoelKTshiani Tu connais les noms des grands parents de sifa ou de bobila dawa ?,2023-04-20 15:47:28+00:00,Burundi,"Arua, Uganda ",1649077328645898243,https://twitter.com/i/web/status/1649077328645898243
